code,unterrichtsformat,syncInteraktion,asynchroneTN,asyncInteraktion
se-onl-1-3-0,Online synchrones Seminar mit asynchroner Teilnahme-Alternative,St-LP,asynchron als mgl. Ersatz.,minimal
se-onl-1-3-1,Online synchrones Seminar mit asynchroner Teilnahme-Alternative,St-LP,asynchron als mgl. Ersatz.,Interaktionsmöglichkeiten St-LP
se-onl-1-3-2,Online synchrones Seminar mit asynchroner Teilnahme-Alternative,St-LP,asynchron als mgl. Ersatz.,Interaktionsmöglichkeiten St-St und St-LP
se-onl-2-0-0,Online synchrones Seminar ,St-LP und St-St,exklusiv synchron,minimal
se-onl-2-0-1,Online synchrones Seminar ,St-LP und St-St,exklusiv synchron,Interaktionsmöglichkeiten St-LP
se-onl-2-0-2,Online synchrones Seminar ,St-LP und St-St,exklusiv synchron,Interaktionsmöglichkeiten St-St und St-LP
se-onl-2-1-0,Online synchrones Seminar ,St-LP und St-St,ergänzende Nacharbeit,minimal
se-onl-2-1-1,Online synchrones Seminar ,St-LP und St-St,ergänzende Nacharbeit,Interaktionsmöglichkeiten St-LP
se-onl-2-1-2,Online synchrones Seminar ,St-LP und St-St,ergänzende Nacharbeit,Interaktionsmöglichkeiten St-St und St-LP
se-onl-2-2-0,Online synchrones Seminar ,St-LP und St-St,ergänzende Vor- und Nacharbeit (Flipped Classroom),minimal
se-onl-2-2-1,Online synchrones Seminar ,St-LP und St-St,ergänzende Vor- und Nacharbeit (Flipped Classroom),Interaktionsmöglichkeiten St-LP
se-onl-2-2-2,Online synchrones Seminar ,St-LP und St-St,ergänzende Vor- und Nacharbeit (Flipped Classroom),Interaktionsmöglichkeiten St-St und St-LP
se-onl-2-3-0,Online synchrones Seminar mit asynchroner Teilnahme-Alternative,St-LP und St-St,asynchron als mgl. Ersatz.,minimal
se-onl-2-3-1,Online synchrones Seminar mit asynchroner Teilnahme-Alternative,St-LP und St-St,asynchron als mgl. Ersatz.,Interaktionsmöglichkeiten St-LP
se-onl-2-3-2,Online synchrones Seminar mit asynchroner Teilnahme-Alternative,St-LP und St-St,asynchron als mgl. Ersatz.,Interaktionsmöglichkeiten St-St und St-LP
vl-praes-0-0-0,Präsenzvorlesung ,minimal,exklusiv synchron,minimal
vl-praes-0-0-1,Präsenzvorlesung ,minimal,exklusiv synchron,Interaktionsmöglichkeiten St-LP
vl-praes-0-0-2,Präsenzvorlesung ,minimal,exklusiv synchron,Interaktionsmöglichkeiten St-St und St-LP
vl-praes-0-1-0,Präsenzvorlesung ,minimal,ergänzende Nacharbeit,minimal
vl-praes-0-1-1,Präsenzvorlesung ,minimal,ergänzende Nacharbeit,Interaktionsmöglichkeiten St-LP
